context_condition,new_bias_score,accuracy,acc_bias
ambig,1.0,0.9893617021276596,1.0638297872340385
disambig,0.1359999999999999,0.9638242894056848,13.59999999999999
ambig,0.05128205128205132,0.6443768996960486,1.8237082066869317
disambig,0.10106382978723394,0.937984496124031,10.106382978723394
ambig,0.21739130434782616,0.6504559270516718,7.598784194528878
disambig,0.12064343163538882,0.9560723514211886,12.064343163538883
ambig,0.22018348623853212,0.668693009118541,7.294832826747721
disambig,0.1345646437994723,0.9612403100775194,13.456464379947231
ambig,0.26168224299065423,0.6747720364741642,8.51063829787234
disambig,0.13043478260869557,0.9328165374677002,13.043478260869556
ambig,0.4570135746606334,0.6641337386018237,15.349544072948326
disambig,0.12299465240641716,0.9534883720930233,12.299465240641716
ambig,0.43661971830985924,0.6762917933130699,14.133738601823712
disambig,0.12806539509536785,0.9457364341085271,12.806539509536785
