context_condition,new_bias_score,accuracy,acc_bias
ambig,0.875,0.9756838905775076,2.1276595744680855
disambig,0.12365591397849451,0.9276485788113695,12.365591397849451
ambig,0.21632653061224483,0.6276595744680851,8.054711246200606
disambig,0.09919571045576414,0.8914728682170543,9.919571045576415
ambig,0.33333333333333326,0.6899696048632219,10.334346504559267
disambig,0.08222811671087538,0.9043927648578811,8.222811671087538
ambig,0.26315789473684204,0.682370820668693,8.35866261398176
disambig,0.11936339522546424,0.9069767441860465,11.936339522546424
ambig,0.24242424242424243,0.6990881458966566,7.29483282674772
disambig,0.12335958005249337,0.9250645994832042,12.335958005249337
ambig,0.47,0.6960486322188449,14.285714285714288
disambig,0.11811023622047245,0.9250645994832042,11.811023622047244
ambig,0.47058823529411775,0.7416413373860182,12.158054711246203
disambig,0.12565445026178002,0.958656330749354,12.565445026178
