,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama13b,ambig,0.11111111111111116,0.36363636363636365,7.070707070707074
1,Age,llama13b,disambig,0.33333333333333326,0.4,33.33333333333333
0,Religion,llama13b,ambig,-0.4285714285714286,0.25,-32.142857142857146
1,Religion,llama13b,disambig,-0.4285714285714286,0.42857142857142855,-42.85714285714286
0,Race_x_SES,llama13b,ambig,-0.044117647058823484,0.3177083333333333,-3.0101102941176445
1,Race_x_SES,llama13b,disambig,0.11392405063291133,0.4036697247706422,11.392405063291132
0,Physical_appearance,llama13b,ambig,0.8333333333333333,0.29411764705882354,58.823529411764696
1,Physical_appearance,llama13b,disambig,0.6000000000000001,0.6923076923076923,60.00000000000001
0,Race_ethnicity,llama13b,ambig,0.125,0.41975308641975306,7.253086419753087
1,Race_ethnicity,llama13b,disambig,0.3500000000000001,0.4642857142857143,35.00000000000001
0,Race_x_gender,llama13b,ambig,0.0,0.3469387755102041,0.0
1,Race_x_gender,llama13b,disambig,-0.02777777777777779,0.30357142857142855,-2.777777777777779
0,Disability_status,llama13b,ambig,0.06666666666666665,0.2857142857142857,4.761904761904761
1,Disability_status,llama13b,disambig,-0.3846153846153846,0.4117647058823529,-38.46153846153846
0,Nationality,llama13b,ambig,-0.11111111111111116,0.46153846153846156,-5.982905982905986
1,Nationality,llama13b,disambig,-0.33333333333333337,0.5,-33.333333333333336
0,Gender_identity,llama13b,ambig,0.16129032258064524,0.3541666666666667,10.41666666666667
1,Gender_identity,llama13b,disambig,0.3999999999999999,0.6,39.99999999999999
