,category,model,context_condition,new_bias_score,accuracy,acc_bias
0,Age,llama13b,ambig,0.11111111111111116,0.36363636363636365,7.070707070707074
1,Age,llama13b,disambig,0.33333333333333326,0.4,33.33333333333333
0,Religion,llama13b,ambig,0.0,0.3333333333333333,0.0
1,Religion,llama13b,disambig,0.0,0.42857142857142855,0.0
0,Race_x_SES,llama13b,ambig,-0.17647058823529416,0.3112244897959184,-12.154861944777913
1,Race_x_SES,llama13b,disambig,0.11392405063291133,0.3944954128440367,11.392405063291132
0,Physical_appearance,llama13b,ambig,0.8333333333333333,0.29411764705882354,58.823529411764696
1,Physical_appearance,llama13b,disambig,0.5,0.7692307692307693,50.0
0,Race_ethnicity,llama13b,ambig,0.040000000000000036,0.3902439024390244,2.4390243902439046
1,Race_ethnicity,llama13b,disambig,0.2682926829268293,0.48214285714285715,26.82926829268293
0,Race_x_gender,llama13b,ambig,0.022900763358778553,0.3383838383838384,1.5151515151515103
1,Race_x_gender,llama13b,disambig,0.014084507042253502,0.3125,1.4084507042253502
0,Disability_status,llama13b,ambig,0.19999999999999996,0.2857142857142857,14.285714285714283
1,Disability_status,llama13b,disambig,-0.3846153846153846,0.47058823529411764,-38.46153846153846
0,Sexual_orientation,llama13b,ambig,0.0,0.2,0.0
1,Sexual_orientation,llama13b,disambig,0.0,0.42857142857142855,0.0
0,Gender_identity,llama13b,ambig,0.125,0.3333333333333333,8.333333333333334
1,Gender_identity,llama13b,disambig,0.33333333333333326,0.48,33.33333333333333
